Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Guajará-Mirim (RO),Total,Produção de lavouras temporárias,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
Jaru (RO),Total,Total,31,9,1,,,,2,10,7,3,6,8,2,,,,,,2,,1,1,23,7,1,,,,2,8,7,2,5,11,4,,,,,1,5,2,,4,12,3,1,,,,1,3,5,2,1,,,,,,,,,,,,8,2,,,,,,2,,1,1,23,7,1,,,,2,8,7,2,5
Jaru (RO),Total,Produção de lavouras temporárias,2,1,,,,,,1,,,1,1,,,,,,,,,,1,1,1,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,1,,,
Ji-Paraná (RO),Total,Total,64,38,8,1,1,,4,3,37,1,23,7,9,1,,,,,,3,,8,57,29,7,1,1,,4,3,34,1,15,32,13,4,,,,3,2,11,,7,25,16,3,1,1,,1,1,23,1,8,,,,,,,,,,,,7,9,1,,,,,,3,,8,57,29,7,1,1,,4,3,34,1,15
Ji-Paraná (RO),Total,Produção de lavouras temporárias,15,3,2,,,,,,3,,1,,,,,,,,,,,,15,3,2,,,,,,3,,1,11,1,1,,,,,,2,,1,4,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,3,2,,,,,,3,,1
Machadinho D'Oeste (RO),Total,Total,82,21,5,1,,,3,4,12,2,12,11,1,,1,,,,1,2,1,3,71,20,5,,,,3,3,10,1,9,37,7,2,,,,1,2,3,,3,34,13,3,,,,2,1,7,1,6,,,,,,,,,,,,11,1,,1,,,,1,2,1,3,71,20,5,,,,3,3,10,1,9
Machadinho D'Oeste (RO),Total,Produção de lavouras temporárias,15,7,1,1,,,,1,3,,2,1,,,1,,,,,,,1,14,7,1,,,,,1,3,,1,10,3,1,,,,,,2,,1,4,4,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,14,7,1,,,,,1,3,,1
Nova Brasilândia D'Oeste (RO),Total,Total,421,611,6,,,3,3,6,127,1,1,43,39,1,,,,2,2,9,,,378,572,5,,,3,1,4,118,1,1,158,307,2,,,,,2,35,,1,219,265,3,,,3,1,2,83,1,,1,,,,,,,,,,,44,39,1,,,,2,2,9,,,377,572,5,,,3,1,4,118,1,1
Nova Brasilândia D'Oeste (RO),Total,Produção de lavouras temporárias,4,3,,,,,,,,,,1,,,,,,,,,,,3,3,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,3,,,,,,,,,
Ouro Preto do Oeste (RO),Total,Total,25,8,3,,,1,1,2,20,2,16,6,3,,,,1,1,1,6,1,8,19,5,3,,,,,1,14,1,8,9,1,2,,,,,1,1,,2,10,4,1,,,,,,13,1,6,,,,,,,,,,,,6,3,,,,1,,1,6,1,8,19,5,3,,,,1,1,14,1,8
Ouro Preto do Oeste (RO),Total,Produção de lavouras temporárias,5,1,,,,,,,,,2,,1,,,,,,,,,,5,,,,,,,,,,2,4,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,2
Pimenta Bueno (RO),Total,Total,3,6,2,1,,,2,1,4,2,4,,1,,,,,,,2,1,1,3,5,2,1,,,2,1,2,1,3,1,1,1,1,,,,,,1,3,2,4,1,,,,2,1,2,,,,,,,,,,,,,,,1,,,,,,,2,1,1,3,5,2,1,,,2,1,2,1,3
Pimenta Bueno (RO),Total,Produção de lavouras temporárias,2,2,1,1,,,,,,2,2,,,,,,,,,,1,,2,2,1,1,,,,,,1,2,1,,1,1,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,1,1,,,,,,1,2
Porto Velho (RO),Total,Total,85,60,7,,,2,3,8,20,105,203,22,8,1,,,1,2,2,1,87,126,63,52,6,,,1,1,6,19,18,77,28,25,4,,,1,,2,8,13,47,34,27,2,,,,1,4,11,5,28,1,,,,,,,,,,2,22,8,1,,,1,2,2,1,86,128,63,52,6,,,1,1,6,19,19,75
Porto Velho (RO),Total,Produção de lavouras temporárias,32,13,2,,,,,1,2,62,83,7,3,,,,,,1,,54,63,25,10,2,,,,,,2,8,20,14,10,2,,,,,,1,8,13,11,,,,,,,,1,,7,,,,,,,,,,,,7,3,,,,,,1,,54,63,25,10,2,,,,,,2,8,20
Presidente Médici (RO),Total,Total,80,19,11,1,,,1,,49,,9,21,4,3,,,,,,7,,,59,15,8,1,,,1,,42,,9,28,7,3,1,,,,,9,,6,31,8,5,,,,1,,33,,3,,,,,,,,,,,,21,4,3,,,,,,7,,,59,15,8,1,,,1,,42,,9
Presidente Médici (RO),Total,Produção de lavouras temporárias,10,1,,,,,,,7,,,4,,,,,,,,3,,,6,1,,,,,,,4,,,3,1,,,,,,,2,,,3,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,3,,,6,1,,,,,,,4,,
Rio Crespo (RO),Total,Total,3,,,,,,2,3,4,,1,,,,,,,1,,,,,3,,,,,,1,3,4,,1,3,,,,,,,,1,,,,,,,,,1,3,3,,1,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,1,3,4,,1
Rio Crespo (RO),Total,Produção de lavouras temporárias,1,,,,,,,1,3,,,,,,,,,,,,,,1,,,,,,,1,3,,,1,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,
Rolim de Moura (RO),Total,Total,108,120,7,2,,1,1,4,88,1,9,13,16,,1,,,1,,16,,2,95,104,7,1,,1,,4,72,1,7,46,51,4,,,1,,,16,,5,47,53,3,1,,,,4,55,1,2,2,,,,,,,,1,,,15,16,,1,,,1,,17,,2,93,104,7,1,,1,,4,71,1,7
Rolim de Moura (RO),Total,Produção de lavouras temporárias,17,9,,,,,,,8,,3,2,1,,,,,,,1,,1,15,8,,,,,,,7,,2,11,7,,,,,,,3,,2,3,1,,,,,,,4,,,1,,,,,,,,,,,3,1,,,,,,,1,,1,14,8,,,,,,,7,,2
Santa Luzia D'Oeste (RO),Total,Total,86,71,1,,2,,1,10,9,4,3,12,2,1,,,,1,,,,1,74,69,,,2,,,10,9,4,2,39,38,,,1,,,4,3,3,2,35,31,,,1,,,6,6,,,,,,,,,,,,1,,11,2,1,,,,,,,1,1,75,69,,,2,,1,10,9,3,2
Santa Luzia D'Oeste (RO),Total,Produção de lavouras temporárias,6,4,,,,,1,,,1,,,,,,,,1,,,,,6,4,,,,,,,,1,,2,2,,,,,,,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,1,,,1,
Vilhena (RO),Total,Total,171,4,2,,,,2,3,33,2,8,31,1,1,,,,,1,6,1,1,140,3,1,,,,2,2,27,1,7,72,1,1,,,,1,,10,1,6,67,2,,,,,1,2,17,,1,1,,,,,,,,,,,31,1,1,,,,,1,6,1,1,140,3,1,,,,2,2,27,1,7
Vilhena (RO),Total,Produção de lavouras temporárias,31,,1,,,,1,1,3,,3,12,,,,,,,,,,,19,,1,,,,1,1,3,,3,12,,1,,,,1,,3,,3,7,,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,,19,,1,,,,1,1,3,,3
São Miguel do Guaporé (RO),Total,Total,288,425,12,2,,2,,2,18,,2,36,34,,,,,,,1,,1,252,391,12,2,,2,,2,17,,1,114,168,5,1,,,,,3,,1,138,223,7,1,,2,,2,14,,,,,,,,,,,,,,36,34,,,,,,,1,,1,252,391,12,2,,2,,2,17,,1
São Miguel do Guaporé (RO),Total,Produção de lavouras temporárias,7,7,,,,,,,1,,,1,1,,,,,,,1,,,6,6,,,,,,,,,,6,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,6,6,,,,,,,,,
Nova Mamoré (RO),Total,Total,9,,,,,,1,2,8,1,41,,,,,,,,,1,,6,9,,,,,,1,2,7,1,35,2,,,,,,,1,2,1,12,7,,,,,,1,1,5,,23,,,,,,,,,,,,,,,,,,,,1,,6,9,,,,,,1,2,7,1,35
Nova Mamoré (RO),Total,Produção de lavouras temporárias,,,,,,,,1,1,1,8,,,,,,,,,,,2,,,,,,,,1,1,1,6,,,,,,,,1,1,1,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,1,6
Alvorada D'Oeste (RO),Total,Total,111,121,1,,,,2,,13,1,2,12,12,,,,,1,,5,,,99,109,1,,,,1,,8,1,2,41,35,,,,,,,2,,,58,74,1,,,,1,,6,1,2,,,,,,,,,,,,12,12,,,,,1,,5,,,99,109,1,,,,1,,8,1,2
Alvorada D'Oeste (RO),Total,Produção de lavouras temporárias,7,7,,,,,,,,,,,2,,,,,,,,,,7,5,,,,,,,,,,2,2,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,7,5,,,,,,,,,
Alto Alegre dos Parecis (RO),Total,Total,85,404,4,,,1,,15,140,19,10,11,50,1,,,,,5,27,1,4,74,354,3,,,1,,10,113,18,6,23,109,1,,,,,1,26,7,3,49,241,2,,,1,,8,87,11,3,2,4,,,,,,1,,,,13,54,1,,,,,6,27,1,4,72,350,3,,,1,,9,113,18,6
Alto Alegre dos Parecis (RO),Total,Produção de lavouras temporárias,7,36,,,,,,1,16,1,4,2,11,,,,,,1,5,,2,5,25,,,,,,,11,1,2,2,12,,,,,,,3,,2,3,13,,,,,,,8,1,,,,,,,,,,,,,2,11,,,,,,1,5,,2,5,25,,,,,,,11,1,2
Alto Paraíso (RO),Total,Total,17,7,8,,,1,4,3,41,,5,1,2,,,,,1,1,3,,2,16,5,8,,,1,3,2,38,,3,6,1,6,,,,1,,10,,1,9,4,2,,,1,2,2,28,,2,1,,,,,,,,,,,2,2,,,,,1,1,3,,2,15,5,8,,,1,3,2,38,,3
Alto Paraíso (RO),Total,Produção de lavouras temporárias,2,3,5,,,,2,,5,,1,,,,,,,1,,,,1,2,3,5,,,,1,,5,,,1,,3,,,,,,3,,,1,3,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,2,3,5,,,,1,,5,,
Buritis (RO),Total,Total,20,13,1,,,3,4,4,64,1,6,,3,,,,,,,3,,,20,10,1,,,3,4,4,61,1,6,8,2,1,,,1,3,2,25,,4,12,8,,,,2,1,2,36,1,2,,,,,,,,,,,,,3,,,,,,,3,,,20,10,1,,,3,4,4,61,1,6
Buritis (RO),Total,Produção de lavouras temporárias,3,1,,,,1,1,1,8,,1,,1,,,,,,,,,,3,,,,,1,1,1,8,,1,1,,,,,1,1,1,5,,1,2,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,1,1,1,8,,1
Novo Horizonte do Oeste (RO),Total,Total,130,142,7,3,3,1,4,4,30,3,5,27,23,1,,,,1,1,5,1,2,103,119,6,3,3,1,3,3,25,2,3,51,59,2,3,2,,3,1,7,,2,52,60,4,,1,1,,2,18,2,1,,,,,,,,,,,,27,23,1,,,,1,1,5,1,2,103,119,6,3,3,1,3,3,25,2,3
Novo Horizonte do Oeste (RO),Total,Produção de lavouras temporárias,10,6,,1,1,,1,,3,,1,4,2,,,,,,,1,,1,6,4,,1,1,,1,,2,,,6,2,,1,1,,1,,1,,,,2,,,,,,,1,,,,,,,,,,,,,,4,2,,,,,,,1,,1,6,4,,1,1,,1,,2,,
Cacaulândia (RO),Total,Total,7,1,2,,,,1,,2,1,,2,,,,,,1,,2,1,,5,1,2,,,,,,,,,2,,1,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,2,1,,5,1,2,,,,,,,,
Cacaulândia (RO),Total,Produção de lavouras temporárias,1,,1,,,,,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,
Campo Novo de Rondônia (RO),Total,Total,12,7,,,,,3,1,7,,8,2,,,,,,1,,2,,1,10,7,,,,,2,1,5,,7,1,2,,,,,,,,,3,9,5,,,,,2,1,5,,4,,,,,,,,,,,,2,,,,,,1,,2,,1,10,7,,,,,2,1,5,,7
Campo Novo de Rondônia (RO),Total,Produção de lavouras temporárias,2,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,
Candeias do Jamari (RO),Total,Total,19,12,,,,,2,1,29,2,69,1,2,,,,,,,4,,14,18,10,,,,,2,1,25,2,55,9,5,,,,,,,9,2,29,9,5,,,,,2,1,15,,26,,,,,,,,,1,,,1,2,,,,,,,5,,14,18,10,,,,,2,1,24,2,55
Candeias do Jamari (RO),Total,Produção de lavouras temporárias,9,1,,,,,,1,3,2,25,,,,,,,,,1,,3,9,1,,,,,,1,2,2,22,4,1,,,,,,,1,2,15,5,,,,,,,1,1,,7,,,,,,,,,,,,,,,,,,,,1,,3,9,1,,,,,,1,2,2,22
Castanheiras (RO),Total,Total,22,40,,,,,1,1,20,,1,3,5,,,,,1,,7,,1,19,35,,,,,,1,13,,,8,13,,,,,,1,5,,,11,22,,,,,,,7,,,,,,,,,,,1,,,3,5,,,,,1,,8,,1,19,35,,,,,,1,12,,
Castanheiras (RO),Total,Produção de lavouras temporárias,5,2,,,,,,,,,1,1,,,,,,,,,,1,4,2,,,,,,,,,,,1,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,4,2,,,,,,,,,
Chupinguaia (RO),Total,Total,9,2,1,,1,,,2,3,,2,5,,1,,,,,,2,,1,4,2,,,1,,,2,1,,1,1,,,,1,,,1,,,1,3,2,,,,,,1,1,,,,,,,,,,,,,,5,,1,,,,,,2,,1,4,2,,,1,,,2,1,,1
Chupinguaia (RO),Total,Produção de lavouras temporárias,2,1,,,,,,,,,2,,,,,,,,,,,1,2,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,1
Cujubim (RO),Total,Total,26,4,,,,,3,5,9,,3,5,1,,,,,1,1,,,,21,3,,,,,2,4,9,,3,7,1,,,,,,2,1,,1,14,2,,,,,2,2,8,,2,,,,,,,,,,,,5,1,,,,,1,1,,,,21,3,,,,,2,4,9,,3
Cujubim (RO),Total,Produção de lavouras temporárias,1,1,,,,,1,1,4,,,,,,,,,1,,,,,1,1,,,,,,1,4,,,1,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,4,,
Governador Jorge Teixeira (RO),Total,Total,6,4,,,,,,5,4,,1,,1,,,,,,,,,,6,3,,,,,,5,4,,1,1,1,,,,,,1,,,1,5,2,,,,,,4,4,,,,,,,,,,,,,,,1,,,,,,,,,,6,3,,,,,,5,4,,1
Governador Jorge Teixeira (RO),Total,Produção de lavouras temporárias,2,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1
Itapuã do Oeste (RO),Total,Total,14,16,,2,1,,1,,4,,6,2,2,,,,,1,,,,1,12,14,,2,1,,,,4,,5,5,3,,1,1,,,,,,2,7,11,,1,,,,,4,,3,,,,,,,,,,,,2,2,,,,,1,,,,1,12,14,,2,1,,,,4,,5
Itapuã do Oeste (RO),Total,Produção de lavouras temporárias,2,,,1,,,,,1,,5,1,,,,,,,,,,1,1,,,1,,,,,1,,4,1,,,1,,,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,,1,,4
Ministro Andreazza (RO),Total,Total,21,76,4,1,,1,12,18,170,1,1,4,12,2,,,,1,4,28,,1,17,64,2,1,,1,11,14,142,1,,4,20,1,1,,,3,3,52,,,13,44,1,,,1,8,11,90,1,,,,,,,,,,,,,4,12,2,,,,1,4,28,,1,17,64,2,1,,1,11,14,142,1,
Ministro Andreazza (RO),Total,Produção de lavouras temporárias,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
